;x
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
50;4
51;4
52;4
53;2
54;4
55;2
56;4
57;2
58;4
59;2
60;2
61;2
62;2
63;4
64;2
65;4
66;2
67;2
68;5
69;2
70;5
71;2
72;5
73;4
74;4
75;4
76;4
77;4
78;4
79;2
80;2
81;2
82;2
83;5
84;2
85;4
87;4
88;2
89;2
90;2
91;4
92;2
93;2
94;2
95;2
96;2
100;3
101;5
102;6
103;3
104;3
105;6
106;2
107;6
108;3
109;6
110;3
111;3
112;3
113;5
114;5
115;3
116;3
117;6
118;6
119;5
120;3
121;5
122;6
123;5
124;3
125;6
126;5
127;5
128;3
129;6
130;6
131;6
132;3
133;5
134;3
136;3
137;3
138;5
139;3
140;3
141;3
142;5
143;3
144;3
145;3
147;3
48;1
49;1
47;1
86;4
97;4
99;2
98;2
146;5
149;5
148;3
135;6
