;x
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
50;2
51;2
52;2
53;3
54;2
55;3
56;4
57;3
58;2
59;3
60;3
61;3
62;3
63;4
64;3
65;2
66;3
67;3
68;4
69;3
70;4
71;3
72;4
73;2
74;2
75;2
76;2
77;2
78;4
79;3
80;3
81;3
82;3
83;4
84;3
85;4
87;2
88;3
89;3
90;3
91;2
92;3
93;3
94;3
95;3
96;3
100;5
101;4
102;6
103;7
104;5
105;6
106;3
107;6
108;7
109;6
110;7
111;7
112;7
113;4
114;4
115;7
116;7
117;6
118;6
119;4
120;5
121;4
122;6
123;4
124;5
125;6
126;4
127;4
128;7
129;6
130;6
131;6
132;7
133;4
134;7
136;5
137;7
138;4
139;7
140;5
141;7
142;4
143;5
144;5
145;7
147;7
48;1
49;1
47;1
86;2
97;2
99;3
98;3
146;4
149;4
148;5
135;6
