;x
0;1
1;4
2;4
3;4
4;1
5;1
6;4
7;1
8;4
9;4
10;1
11;4
12;4
13;4
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;4
23;1
24;4
25;4
26;1
27;1
28;1
29;4
30;4
31;1
32;1
33;1
34;4
35;4
36;1
37;1
38;4
39;1
40;1
41;4
42;4
43;1
44;1
45;4
46;1
50;5
51;5
52;5
53;2
54;5
55;2
56;5
57;2
58;5
59;2
60;2
61;2
62;2
63;5
64;2
65;5
66;2
67;2
68;6
69;2
70;6
71;2
72;6
73;5
74;5
75;5
76;5
77;5
78;5
79;2
80;2
81;2
82;2
83;6
84;2
85;5
87;5
88;2
89;2
90;2
91;5
92;2
93;2
94;2
95;2
96;2
100;3
101;6
102;7
103;3
104;3
105;7
106;2
107;7
108;3
109;7
110;3
111;3
112;3
113;6
114;6
115;3
116;3
117;7
118;7
119;6
120;3
121;6
122;7
123;6
124;3
125;7
126;6
127;6
128;3
129;7
130;7
131;7
132;3
133;6
134;6
136;3
137;3
138;6
139;3
140;3
141;3
142;6
143;3
144;3
145;3
147;3
49;1
48;1
47;4
86;5
97;5
99;2
98;2
146;6
149;6
148;3
135;7
