;x
0;1
1;2
2;2
3;2
4;1
5;1
6;2
7;1
8;2
9;2
10;1
11;1
12;2
13;2
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;2
23;1
24;1
25;2
26;1
27;1
28;1
29;2
30;2
31;1
32;1
33;1
34;2
35;2
36;1
37;1
38;2
39;1
40;1
41;2
42;2
43;1
44;1
45;2
46;1
50;3
51;3
52;3
53;4
54;3
55;4
56;3
57;4
58;3
59;4
60;4
61;4
62;4
63;5
64;4
65;3
66;4
67;4
68;5
69;4
70;5
71;4
72;5
73;3
74;3
75;3
76;3
77;6
78;5
79;4
80;4
81;4
82;4
83;5
84;4
85;5
87;3
88;4
89;4
90;4
91;3
92;4
93;4
94;4
95;4
96;4
100;6
101;5
102;6
103;6
104;6
105;6
106;4
107;6
108;6
109;6
110;6
111;6
112;6
113;5
114;5
115;6
116;6
117;6
118;6
119;5
120;6
121;5
122;6
123;5
124;6
125;6
126;5
127;5
128;6
129;6
130;6
131;6
132;6
133;5
134;6
136;6
137;6
138;5
139;6
140;6
141;6
142;5
143;6
144;6
145;6
147;6
49;1
48;1
47;2
86;3
97;3
99;4
98;4
146;5
149;5
148;6
135;6
